from,https://tools.miku.ac/gpu_rank/,https://tools-api-cn.hazymoon.vip/gpu_rank,,
669,Ryzen 5 PRO 4650U with Radeon Graphics,1690,6,
670,GeForce GTX 760M,1681,6,
671,Radeon R7 M380,1669,6,
672,Radeon Ryzen 3 PRO 4350GE,1667,6,
673,Radeon HD 7750,1665,6,
674,Radeon Vega 9,1662,6,
675,FirePro M6000 Mobility Pro,1655,6,
676,DameWare Development Mirror Driver 64-bit,1654,6,
677,Intel Iris Pro P6300,1654,6,
678,Radeon HD HD7850M,1652,6,
679,Radeon Ryzen 5 PRO 4650U with,1648,6,
680,Radeon Pro,1643,6,
681,Quadro K3000M,1642,6,
682,Radeon HD 8870M,1638,6,
683,Quadro P400,1633,6,
684,Firepro W5170M,1626,6,
685,Quadro K2000D,1618,6,
686,Ryzen 7 2700U with Radeon Vega,1617,6,
687,FirePro M4000 Mobility Pro,1615,6,
688,Seria Radeon HD 7700,1604,6,
689,Radeon R7 M465X,1598,6,
690,Radeon Vega 8,1597,6,
691,Intel Iris Plus 650,1596,6,
692,FirePro M4000,1592,6,
693,GeForce GT 755M,1590,6,
694,Radeon HD 6790,1588,6,
695,Radeon RX Vega 8,1586,6,
696,Radeon E8860,1577,6,
697,Radeon R9 M275X / M375,1575,6,
698,Quadro K2000,1569,6,
699,15DD,1568,6,
700,GeForce GTX 550 Ti,1567,6,
701,Quadro P500,1566,6,
702,GeForce GTX 285,1561,6,
703,Ryzen 3 PRO 5450U with Radeon Graphics,1556,6,
704,Radeon HD 7560D + HD 6670 Dual,1555,6,
705,Radeon Vega 10,1549,6,
706,Radeon Ryzen 3 PRO 4450U,1548,6,
707,Radeon HD 8470D + HD 7500 Dual,1545,6,
708,Intel UHD 730,1545,6,
709,FirePro W4100,1544,6,
710,Ryzen 3 PRO 4300U with Radeon Graphics,1543,6,
711,FirePro V8700,1539,6,
712,Ryzen 3 PRO 4450U with Radeon Graphics,1538,6,
713,Radeon Ryzen 7 PRO 5750G,1526,6,
714,Radeon HD 4890,1521,6,
715,Intel Iris Pro 6200,1521,6,
716,GeForce 940MX,1516,6,
717,FirePro W6150M,1515,6,
718,GeForce GT 740,1512,6,
719,Radeon HD 7870M,1507,6,
720,Radeon Ryzen 3 4300G,1505,6,
721,Ryzen 5 2500U with Radeon Vega,1503,6,
722,Radeon HD 6670 + 7660D Dual,1492,6,
723,Radeon HD 7660D + HD 6670 Dual,1485,6,
724,Radeon Ryzen 3 4300G with,1484,6,
725,Quadro 4000,1483,6,
726,Radeon R9 M365X,1482,6,
727,FirePro V5800 Adapter,1479,6,
728,GeForce MX110,1478,6,
729,Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C,1463,5
730,Radeon Vega 10 Mobile,1457,5,
731,Radeon Vega 8 Mobile,1448,5,
732,Radeon Ryzen 5 PRO 4400GE with,1442,5,
733,Ryzen 5 PRO 4400GE with Radeon Graphics,1442,5,
734,Radeon HD 8470D + HD 6670 Dual,1436,5,
735,Intel Iris Pro Graphics 6200,1435,5,
736,GeForce 845M,1430,5,
737,Radeon HD 7560D + 7670 Dual,1426,5,
738,Radeon R7 A10-7870K,1423,5,
739,GeForce GTX 275,1421,5,
740,GeForce GTX 660M,1419,5,
741,Radeon R7 M370,1418,5,
742,Radeon 550X,1412,5,
743,Radeon Pro WX 4170,1409,5,
744,Radeon RX 640,1401,5,
745,Radeon 540X,1398,5,
746,FirePro W5130M,1386,5,
747,Radeon HD 7560D + HD 7670 Dual,1380,5,
748,Radeon HD 4870,1376,5,
749,Radeon R7 PRO A12-8870,1376,5,
750,Radeon R9 M370X,1375,5,
751,Radeon HD 7850M,1373,5,
752,Quadro K2100M,1368,5,
753,FirePro M40003,1364,5,
754,RadeonT RX 640,1363,5,
755,Radeon HD 8670D + 6670 Dual,1361,5,
756,Intel UHD 630,1350,5,
757,Ryzen 3 4300U with Radeon Graphics,1348,5,
758,Radeon Ryzen 3 4300U with,1348,5,
759,Radeon HD 5770,1347,5,
760,Radeon HD 7560D + HD 7700 Dual,1347,5,
761,FireStream 9270,1341,5,
762,Intel Iris 550,1338,5,
763,Radeon Ryzen 3 PRO 4450U with,1338,5,
764,GeForce GT 750M,1332,5,
765,GeForce GTS 450,1329,5,
766,Intel Iris Plus 640,1325,5,
767,GeForce 930MX,1319,5,
768,Radeon HD 8670D + HD 7600 Dual,1318,5,
769,FirePro M5950,1314,5,
770,Radeon Vega 11 Mobile,1313,5,
771,Radeon R7 PRO A8-8670E,1310,5,
772,Radeon HD 4870 X2,1309,5,
773,Radeon HD 8790M,1306,5,
774,Radeon R7 M465,1306,5,
775,Tesla M2070-Q,1306,5,
776,Intel HD P530,1304,5,
777,TENSOR 1.0 Driver Intel HD 630,1300,5,
778,Quadro 4000M,1299,5,
779,Radeon Ryzen Embedded V2748,1296,5,
780,Radeon Ryzen 3 4300U,1290,5,
781,Radeon R7 A370,1281,5,
782,Radeon 630,1281,5,
783,Radeon 540,1280,5,
784,FirePro V5900,1279,5,
785,FirePro V8750,1277,5,
786,FirePro 3D V8750,1272,5,
787,Radeon Vega 6,1270,5,
788,GeForce GPU,1265,5,
789,Radeon HD 8570D + HD 6670 Dual,1261,5,
790,Radeon HD 7560D + HD 7600 Dual,1258,5,
791,Quadro FX 5800,1254,5,
792,Radeon R9 255,1251,5,
793,Intel HD P630,1250,5,
794,Intel Iris 540,1247,5,
795,Quadro 2000 D,1239,5,
796,Radeon HD 8570D + 6570 Dual,1239,5,
797,Radeon HD 7660D + 6670 Dual,1238,5,
798,Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G,1238,5
799,Radeon HD 7560D + HD 6570 Dual,1237,5,
800,Microsoft Remote Display Adapter,1236,5,
801,Radeon R7 + R5 340 Dual,1235,5,
802,GeForce GTX 560M,1232,5,
803,FirePro 3D V5800,1232,5,
804,Radeon R7 + R7 250 Dual,1232,5,
805,Radeon HD 8670D + HD 6670 Dual,1222,5,
806,Radeon HD 7730,1219,5,
807,Radeon HD 6770,1212,5,
808,Radeon HD 4800 Serisi,1211,5,
809,Radeon HD 8790M / R9 M290X,1211,5,
810,Radeon R7 A10-7890K Radeon R7, 12 Compute Cores 4C,1210,5
811,FirePro 3D V8700,1206,5,
812,FirePro V4800,1205,5,
813,N16P-GX,1205,5,
814,Radeon R9 M270X,1204,5,
815,Radeon HD 7660D + 7540D Dual,1204,5,
816,Radeon 625,1201,5,
817,GeForce GTX 260,1200,5,
818,GeForce GTX 460M,1198,4,
819,Radeon R7 250,1197,4,
820,GeForce GTX 280,1196,4,
821,GeForce GT 640,1192,4,
822,Radeon HD 7750M,1191,4,
823,Radeon R7 +8G,1191,4,
824,GeForce GT 650M,1187,4,
825,FirePro V5800,1183,4,
826,GeForce 840A,1180,4,
827,FireStream 9250,1165,4,
828,Quadro K620M,1165,4,
829,Radeon HD 5750,1161,4,
830,Barco MXRT 5400,1161,4,
831,Radeon R7 430,1161,4,
832,Intel Coffee Lake UHD,1158,4,
833,GeForce GTX 295,1148,4,
834,GeForce 940A,1145,4,
835,GeForce GT 745A,1144,4,
836,Radeon HD 8850M / R9 M265X,1140,4,
837,Intel HD 630,1137,4,
838,Radeon HD 4850 X2,1132,4,
839,Radeon R7 A8-7600 Radeon R7, 10 Compute Cores 4C+6,1132,4
840,Radeon HD 7560D + 6670 Dual,1131,4,
841,Radeon R7 + R7 200 Dual,1129,4,
842,NVS 810,1129,4,
843,Radeon R7 PRO A12-8870E,1127,4,
844,Radeon HD 8650G + 7700M Dual,1126,4,
845,Radeon HD 7660D + 7500 Dual,1121,4,
846,Radeon R7 PRO A12-9800,1117,4,
847,Radeon R9 M275,1115,4,
848,Radeon R7 A10-8850,1115,4,
849,Firepro W4190M,1109,4,
850,GeForce 940M,1106,4,
851,Quadro M500M,1104,4,
852,GeForce GT 545,1100,4,
853,Radeon HD 7660D + 6570 Dual,1100,4,
854,Radeon R7 A10-9700E RADEON,1100,4,
855,Quadro 2100M,1100,4,
856,Radeon R7 PRO A10-8750B R7, 12 Compute Cores 4C+8G,1099,4
857,Quadro K1100M,1097,4,
858,Radeon R5 PRO A6-9500 2C+6G,1096,4,
859,GeForce GTX 850M - MODDED,1092,4,
860,GeForce 920MX,1087,4,
861,GeForce 930A,1082,4,
862,MIRRORV3,1081,4,
863,Barco MXRT 5450,1079,4,
864,Radeon Vega 3 Mobile,1071,4,
865,Radeon 535,1070,4,
866,Radeon HD 8450G + 8600/8700M Dual,1070,4,
867,FirePro M4170,1067,4,
868,Radeon R7 A12-9800E RADEON,1066,4,
869,GeForce 840M,1063,4,
870,Radeon R7 FX-9830P RADEON,1063,4,
871,Radeon HD 7660D + 7670 Dual,1062,4,
872,Radeon HD 7520G + 7700M Dual,1061,4,
873,GeForce GTX 760A,1060,4,
874,Firepro M4100,1059,4,
875,OPAL XT/GL,1053,4,
876,Radeon HD 7670A,1050,4,
877,GeForce GTX 850A,1050,4,
878,Radeon R7 PRO A8-9600,1049,4,
879,Mobility Radeon HD 5870,1048,4,
880,Radeon R7 A12-9730P RADEON,1047,4,
881,Radeon R7 + R7 240 Dual,1045,4,
882,Radeon R7 M460,1044,4,
883,Radeon R7 Opteron X3421,1044,4,
884,Intel UHD Graphics 620,1040,4,
885,Radeon HD 8570D + 6670 Dual,1040,4,
886,Radeon R7 A10-7850K Radeon R7, 12 Compute Cores 4C,1034,4
887,Radeon HD 8570D + HD 8570 Dual,1033,4,
888,Quadro K2000M,1030,4,
889,Radeon HD 8600/8700M,1030,4,
890,Quadro 3000M,1029,4,
891,Radeon HD7570,1029,4,
892,Radeon R7 A10-7860K Radeon R7, 12 Compute Cores 4C,1029,4
893,Radeon R7 + R5 330 Dual,1028,4,
894,Radeon R7 M350,1027,4,
895,Radeon R9 A375,1024,4,
896,GeForce GT 745M,1023,4,
897,GeForce 930M,1022,4,
898,Radeon HD 8670D + R7 240 Dual,1020,4,
899,Radeon HD 6700M,1017,4,
900,Intel Iris Pro 5200,1016,4,
901,Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4,1015,4
902,Radeon R5 A6-9500E 2C+4G,1015,4,
903,Radeon HD 6750,1012,4,
904,RadeonT R5 430,1012,4,
905,GeForce 830M,1010,4,
906,Radeon R7 A10-7800 Radeon R7, 12 Compute Cores 4C+,1010,4
907,Radeon HD 7690M XT,1009,4,
908,GeForce 830A,1005,4,
909,Radeon HD 7690M,1003,4,
910,Radeon R5 340,1002,4,
911,Radeon HD 7660G + HD 7500/7600 7500/7600 Dual,1002,4,
912,Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G,1000,4
913,Radeon HD 8570D + R7 200 Dual,999,4,
914,Radeon HD 7660G + HD 7500M/7600M Dual,999,4,
915,Radeon R7 A10-9700 RADEON,998,4,
916,Radeon HD 7640G + HD 8750M Dual,997,4,
917,Radeon R7 A12-9800 RADEON,993,4,
918,Radeon R7 PRO A12-9800E,989,4,
919,Intel HD 620,988,4,
920,Radeon HD 7560D + 7570 Dual,985,4,
921,Radeon HD 8690M,984,4,
922,Radeon HD 7560D + 7560D Dual,983,4,
923,FirePro M4150,982,4,
924,Intel HD 530,981,4,
925,FirePro V4900,977,4,
926,Radeon R5 A10-9630P 4C+6G,977,4,
927,Radeon HD 8670D + 8570 Dual,974,4,
928,Radeon E6760,973,4,
929,Radeon HD 8850M,973,4,
930,Quadro FX 4800,971,4,
931,Radeon R6 A10-9600P RADEON R5, 10 COMPUTE CORES 4C,970,4
932,Radeon R6 A10-9600P 4C+6G,970,4,
933,Radeon HD 7660G N HD 7660G + HD 7700M N HD 7700M D,967,4,
934,Radeon HD 8570,965,4,
935,Quadro 2000D,964,4,
936,Radeon HD 6770M,964,4,
937,Radeon HD 8570D + R7 240 Dual,964,4,
938,Radeon R7 M270DX,962,4,
939,Radeon HD8570,960,4,
940,Radeon R7 A10-7850K,960,4,
941,GeForce GT 645M,958,4,
942,Radeon R7 A10 PRO-7850B,958,4,
943,Radeon R7 A10 PRO-7850B R7, 12 Compute Cores 4C+8G,956,4
944,Radeon R7 A265,955,4,
945,Radeon R7 PRO A10-8770,955,4,
946,Radeon R6 Opteron X3418,955,4,
947,Radeon Ryzen 3 5400U,955,4,
948,Radeon HD 8870M / R9 M270X,950,4,
949,Radeon HD 8670D + R7 200 Dual,950,4,
950,Radeon R7 M260X,950,4,
951,Radeon HD 8570 + HD 7660D Dual,949,4,
952,Radeon HD 4850,948,4,
953,Radeon R7 A8-7500,948,4,
954,Quadro CX,947,4,
955,Radeon 530,947,4,
956,Radeon HD 6670/7670,946,4,
957,Radeon HD 7640G + 7690M Dual,946,4,
958,Radeon R7 PRO A10-8850B,945,4,
959,zxcvIntel HD 620,944,4,
960,Radeon HD 7660D + R7 240 Dual,942,4,
961,Quadro 2000,940,4,
962,Radeon HD 6750M,937,4,
963,Radeon HD 7560D + HD 8570 Dual,936,4,
964,Radeon R7 A10-7860K,935,4,
965,Radeon R7 PRO A10-9700E,933,3,
966,Radeon HD 7660G + 7730M Dual,931,3,
967,Radeon R7 340,931,3,
968,Radeon R7 240 + HD 8670D Dual,930,3,
969,Radeon R9 M265X,930,3,
970,Radeon R7 PRO A8-8650B R7, 10 Compute Cores 4C+6G,928,3
971,Radeon R5 430,928,3,
972,Radeon. HD 7730M,928,3,
973,Intel Iris Pro 6100,925,3,
974,FirePro W4170M,924,3,
975,Radeon R9 M280X,922,3,
976,Intel HD Graphics 620,920,3,
977,Radeon R7 240 + HD 8570D Dual,918,3,
978,Radeon R7 PRO A10-8770E,917,3,
979,Radeon R7 PRO A10-8850B R7, 12 Compute Cores 4C+8G,916,3
980,Radeon R7 A10-8750 Radeon R7, 12 Compute Cores 4C+,915,3
981,GRID M10-0Q,914,3,
982,Radeon R7 A8-8650,913,3,
983,GRID K220Q,912,3,
984,GRID M6-0B,912,3,
985,Radeon R7 M445,911,3,
986,Radeon 6750M,911,3,
987,Radeon 620,907,3,
988,Radeon HD 4770,906,3,
989,Radeon HD 8550G + 7600M Dual,901,3,
990,Barco MXRT 7400,901,3,
991,Barco MXRT 2600,900,3,
992,Radeon R7 + R5 Dual,898,3,
993,Radeon R7 M365X,898,3,
994,GeForce GT 640M,897,3,
995,7900 MOD - Radeon HD 6550D,893,3,
996,Intel UHD 620,889,3,
997,Radeon Vega 3,887,3,
998,Radeon R7 + R5 435 Dual A10-9700 RADEON,886,3,
999,Radeon HD 8650G + 7670M Dual,884,3,
1000,Radeon R7 A10-8750,884,3,
1001,FirePro W2100,883,3,
1002,Radeon R7 PRO A12-8830B,883,3,
1003,Radeon HD 7660G + HD 7730M Dual,882,3,
1004,GeForce GT 445M,881,3,
1005,Intel Iris 6100,879,3,
1006,GeForce 920A,879,3,
1007,Radeon R5 PRO A6-9500E R5, 6 COMPUTE CORES 2C+4G,877,3
1008,LMIMIRR,875,3,
1009,Radeon HD 4830,874,3,
1010,Radeon HD 8750M,874,3,
1011,Intel UHD 617,874,3,
1012,Radeon R7 G,870,3,
1013,Radeon HD 8570D + HD 6570 Dual,868,3,
1014,Mobility Radeon HD 4850,866,3,
1015,Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G,866,3
1016,Radeon R7 M440,865,3,
1017,FirePro W2100 Adapter,864,3,
1018,Radeon HD 8470D + HD 6450 Dual,863,3,
1019,Intel HD 520,862,3,
1020,Radeon R7 A8-7670K,862,3,
1021,Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G,859,3
1022,Radeon R7 240,858,3,
1023,Radeon HD 8550G + HD 7600M Dual,855,3,
1024,FirePro 3D V4800,854,3,
1025,Intel HD 6000,853,3,
1026,Radeon HD 8500M/8700M,853,3,
1027,Radeon R7 A8-8650 Radeon R7, 10 Compute Cores 4C+6,853,3
1028,Radeon R7 A8-7500 Radeon R7, 10 Compute Cores 4C+6,853,3
1029,Radeon R5 A6-9500 2C+6G,853,3,
1030,Radeon R7 A8-7500 4C+6G,853,3,
1031,GeForce GT 635,852,3,
1032,Radeon R5 PRO A6-8570 2C+6G,847,3,
1033,Radeon R5 435,841,3,
1034,FireGL V8600,839,3,
1035,Radeon HD 8470D + 6570 Dual,838,3,
1036,Radeon HD 8670D + R5 235 Dual,837,3,
1037,GeForce GT 730M,836,3,
1038,Radeon HD 6650A,836,3,
1039,Radeon HD 7560D + 6570 Dual,833,3,
1040,Radeon HD 8650G + 8600/8700M Dual,832,3,
1041,Radeon HD 7660G + 7600M Dual,832,3,
1042,Radeon HD 7520G + HD 7500/7600 Dual,832,3,
1043,Intel HD 5200,830,3,
1044,Radeon. HD 7670M,828,3,
1045,GRID M60-0Q,827,3,
1046,3DP Edition,827,3,
1047,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,3,
1048,Radeon HD 3850 X2,822,3,
1049,Radeon R7 M260DX,822,3,
1050,Radeon HD 7540D + 7500 Dual,822,3,
1051,Radeon HD 8650G + HD 7600M Dual,820,3,
1052,Radeon R7 PRO A10-9700,820,3,
1053,Radeon 520,820,3,
1054,Radeon HD 8550G + HD 8750M Dual,819,3,
1055,Radeon R7 A10 Extreme Edition,816,3,
1056,Radeon R7 FX-8800P,813,3,
1057,Radeon 535DX,813,3,
1058,Radeon HD 8670D + 7000 Dual,812,3,
1059,GRID K1,811,3,
1060,Radeon R5 M435,809,3,
1061,Radeon R5 A6-7480,806,3,
1062,Radeon HD 8550G + 8600/8700M Dual,803,3,
1063,Radeon HD 8650G + HD 8790M Dual,800,3,
1064,GeForce 9800 GX2,798,3,
1065,Radeon R7 A8-9600 RADEON,798,3,
1066,GeForce GT 730,797,3,
1067,Radeon HD 8550G + 8750M Dual,796,3,
1068,Radeon HD 8650G N HD 8650G + HD 8600/8700M Dual,796,3,
1069,Quadro 2000M,795,3,
1070,Radeon HD 7670,791,3,
1071,Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G,788,3
1072,Radeon HD 8650G + 8750M Dual,787,3,
1073,Radeon HD 5670,785,3,
1074,GeForce GT 740M,784,3,
1075,Radeon R8 M445DX,784,3,
1076,Quadro K420,782,3,
1077,Radeon R7 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G,781,3
1078,Radeon R7 PRO A6-9500 2C+6G,781,3,
1079,Radeon R7 A365,781,3,
1080,Radeon HD 8650G + HD 8750M Dual,779,3,
1081,Radeon R9 M375,779,3,
1082,Radeon R7 PRO A12-9800B,779,3,
1083,Radeon R7 A10-7870K Radeon R7, 12 Compute Cores 4C,778,3
1084,GRID P40-4Q,778,3,
1085,Quadro FX 3800,777,3,
1086,Radeon HD 7660G + HD 7700M Dual,777,3,
1087,Radeon HD 7640G + 7500M/7600M Dual,776,3,
1088,RadeonT Vega 3,775,3,
1089,GeForce GT 340,774,3,
1090,Quadro K1000M,774,3,
1091,Radeon HD 7600M + 7600M Dual,773,3,
1092,Mobility Radeon HD 5000,773,3,
1093,Radeon HD 8650G N HD 8650G + HD 8570M Dual,773,3,
1094,GeForce 730A,773,3,
1095,Radeon R7 PRO A10-8750B,773,3,
1096,Intel UHD 615,773,3,
1097,GeForce GT 440,772,3,
1098,Radeon R5 PRO A6-9500E 2C+4G,771,3,
1099,Quadro K600,769,3,
1100,GeForce 9800 GTX,769,3,
1101,Radeon HD 4810,769,3,
1102,GeForce 825M,769,3,
1103,Radeon R7 A10-7890K,768,3,
1104,Radeon HD 8650G + HD 8600/8700M Dual,764,3,
1105,Mobility Radeon HD 5850,763,3,
1106,Radeon HD 6450 + 8470D Dual,763,3,
1107,Radeon HD 7660G + HD 7500/7600 Dual,760,3,
1108,Radeon R7 PRO A10-9700B,758,3,
1109,Radeon HD 7660G + HD 8500M Dual,758,3,
1110,Radeon HD 8650G + HD 8600M N HD 8600M Dual,758,3,
1111,Radeon HD 7660G + 7700M Dual,757,3,
1112,Intel Iris 5100,755,3,
1113,Quadro 1100M,755,3,
1114,Radeon R7 A12-9720P RADEON,754,3,
1115,Radeon HD 7640G + 7450M Dual,754,3,
1116,Radeon R7 A8-7600,753,3,
1117,Radeon HD 8570D + HD 7000 Dual,753,3,
1118,Radeon R7 A8-7670K Radeon R7, 10 Compute Cores 4C+,750,3
1119,IncrediblE HD 4600,750,3,
1120,Radeon M535DX,750,3,
1121,Radeon HD 6650M,749,3,
1122,Radeon HD 7640G + 7650M Dual,747,3,
1123,Radeon HD 7660G + HD 8600/8700M Dual,747,3,
1124,Radeon HD 7660G + 7610M Dual,746,3,
1125,Radeon R7 M270,746,3,
1126,Radeon HD 8670D + R5 330 Dual,746,3,
1127,Radeon R5 235 + HD 7560D Dual,744,3,
1128,Radeon HD 7660G + 7670M Dual,743,3,
1129,GeForce GT 730A,743,3,
1130,Radeon HD 8650G + 7600M Dual,742,3,
1131,Radeon R8 M365DX,741,3,
1132,Radeon R7 A8-7680,740,3,
1133,Radeon HD 6670,739,3,
1134,Intel Poison Ivy,739,3,
1135,Radeon HD 7670M + 7670M Dual,738,3,
1136,Radeon R5 235 + HD 8570D Dual,738,3,
1137,Radeon R7 PRO A12-8800B,735,3,
1138,Radeon R7 A10-7700K,733,3,
1139,Quadro K610M,732,3,
1140,Intel UHD 610,732,3,
1141,Radeon R5 A10-9620P 4C+6G,732,3,
1142,Radeon HD 7550M/7650M,729,3,
1143,Radeon HD 6800M,728,3,
1144,NVS 510,728,3,
1145,GRID K140Q,728,3,
1146,Radeon R7 FX-9800P RADEON,727,3,
1147,Radeon R7 A10-7800,725,3,
1148,GeForce 720A,725,3,
1149,GeForce 920M,724,3,
1150,Radeon HD 7660G N HD 7660G + HD 7600M N HD 7600M D,723,3,
1151,Radeon HD 8650G + R5 M200 Dual,723,3,
1152,Intel HD 615,721,3,
1153,Asus GTX 650 FML II EC-EGPU,721,3,
1154,Mobility Radeon HD 4870,720,3,
1155,Radeon HD 7540D + 6570 Dual,720,3,
1156,Radeon HD 8670D + HD 7000 Dual,719,3,
1157,Radeon HD 8470D + 6450 Dual,717,3,
1158,Radeon HD 8650G + HD 8570M Dual,716,3,
1159,Intel HD 5600,712,3,
1160,Radeon HD 7660G + HD 8670M Dual,711,3,
1161,Radeon HD 3870 X2,709,3,
1162,Radeon HD 6550A,708,3,
1163,Radeon R7 A10 PRO-7800B R7, 12 Compute Cores 4C+8G,708,3
1164,Radeon HD 7660G + HD 7670M Dual,707,3,
1165,GeForce GT 740A,707,3,
1166,Radeon HD 7640G + 7600M Dual,706,3,
1167,Radeon HD 7660G N HD 7660G + HD 7670M Dual,705,3,
1168,Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C,705,3
1169,Radeon HD 7640G + HD 7600M Dual,704,3,
1170,Radeon HD 7570M/HD 7670M,699,3,
1171,TRINITY DEVASTATOR MOBILE,699,3,
1172,Radeon R8 M535DX,699,3,
1173,Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C,698,3
1174,GeForce GT 555M,697,3,
1175,Radeon R5 PRO A10-8730B 4C+6G,695,3,
1176,Radeon R7 PRO A8-8650B,693,3,
1177,Radeon R5 PRO A6-9500B 2C+4G,693,3,
1178,Radeon HD 7640G + 7700M Dual,691,3,
1179,Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G,690,3
1180,Radeon R7E,690,3,
1181,Radeon R5 PRO A6-8530B 2C+4G,690,3,
1182,Radeon HD 7640G + 8600/8700M Dual,689,3,
1183,GeForce GT 530,686,3,
1184,Radeon HD 8650G + R5 M230 Dual,686,3,
1185,Radeon HD 8550D,685,3,
1186,Radeon HD 6630M,685,3,
1187,GRID P40-3Q,681,3,
1188,Radeon HD 7640G N HD 7640G + HD 7670M Dual,680,3,
1189,Radeon HD 8650G N HD 8650G + HD 8600M N HD 8600M D,680,3,
1190,GeForce GT 630,679,3,
1191,GeForce GTS 160M,679,3,
1192,Radeon R7 A8-7650K Radeon R7, 10 Compute Cores 4C+,679,3
1193,Radeon R7 A12-9700P RADEON,678,3,
1194,Radeon HD 7640G + HD 8670M Dual,677,3,
1195,GeForce GT 640M LE,676,3,
1196,GeForce GTX 285M,676,3,
1197,Quadro FX 4700 X2,676,3,
1198,Radeon HD 8610G + R5 M200 Dual,676,3,
1199,Radeon R7 A360,676,3,
1200,FirePro V3900,672,3,
1201,Intel HD 610,672,3,
1202,Radeon HD 7640G + HD 8500M N HD 8500M Dual,666,2,
1203,Radeon HD 8730M,666,2,
1204,FirePro M7740,665,2,
1205,Radeon HD 8550G + 8690M Dual,664,2,
1206,Quadro 500M,664,2,
1207,Radeon HD 5600/5700,661,2,
1208,FireGL V7700,660,2,
1209,Radeon HD 2900 XT,660,2,
1210,Radeon R5 PRO A8-9600B 4C+6G,659,2,
1211,GeForce GT 140,658,2,
1212,Radeon HD 7640G + 8750M Dual,655,2,
1213,Radeon HD 7730M,655,2,
1214,Radeon HD 8550G + HD 8600/8700M Dual,655,2,
1215,Radeon HD 8650G + 8570M Dual,654,2,
1216,Professional HD Driver,654,2,
1217,Radeon Dual,652,2,
1218,GeForce GTS 360M,651,2,
1219,Radeon HD 7520G + HD 8750M Dual,651,2,
1220,SUMO 9640,650,2,
1221,Radeon R6,649,2,
1222,Radeon R5 M430,649,2,
1223,Radeon R7 A8-7650K,648,2,
1224,Radeon HD 6670 + 6670 Dual,647,2,
1225,FireStream 9170,647,2,
1226,Radeon HD 8610G + HD 8500M Dual,646,2,
1227,Radeon HD 7640G + 7670M Dual,645,2,
1228,Intel HD P4600/P4700,643,2,
1229,Radeon R7 M340,643,2,
1230,Radeon HD 7540D + HD 6450 Dual,643,2,
1231,GeForce 8800 Ultra,639,2,
1232,GeForce GT 710,639,2,
1233,Radeon R5 PRO A6-8570E 2C+4G,638,2,
1234,Radeon HD 8450G + 8750M Dual,637,2,
1235,Radeon HD 7640G + 7400M Dual,637,2,
1236,GeForce 9800 S,636,2,
1237,NVS 5400M,635,2,
1238,Radeon HD 8650G + 8670M Dual,635,2,
1239,Matrox C420 LP PCIe x16,635,2,
1240,Radeon HD 8650G + HD 7670M Dual,634,2,
1241,Radeon HD 7660D + HD 7000 Dual,634,2,
1242,Radeon HD 7610M,632,2,
1243,Radeon HD 7660G + 7470M Dual,631,2,
1244,Radeon HD 7640G + HD 7700M N HD 7700M Dual,631,2,
1245,Radeon HD 7570,630,2,
1246,Radeon HD 8510G + HD 8500M Dual,630,2,
1247,GeForce 9800 GTX/9800 GTX+,628,2,
1248,Radeon HD 2900 PRO,628,2,
1249,GRID K160Q,628,2,
1250,Intel HD 4600,627,2,
1251,Radeon HD 8650G + 8500M Dual,627,2,
1252,Radeon HD 7640G + 7500/7600 Dual,627,2,
1253,GeForce GT 820M,626,2,
1254,Radeon R5 A6-8500P,625,2,
1255,Radeon HD 7520G + HD 8600/8700M Dual,624,2,
1256,Radeon R7 A8 PRO-7600B,623,2,
1257,GeForce GTS 240,622,2,
1258,GeForce 810A,622,2,
1259,GeForce GTX 280M,621,2,
1260,Radeon HD 7640G + HD 7400M Dual,621,2,
1261,Radeon HD 8570 + 8670D Dual,620,2,
1262,Intel HD 510,620,2,
1263,Radeon HD 8550G + R5 M200 Dual,619,2,
1264,Radeon R5 A10-9600P 4C+6G,619,2,
1265,Radeon HD 8550G + 8600M Dual,618,2,
1266,Radeon HD 7500G + 7500M/7600M Dual,617,2,
1267,FireGL V7600,616,2,
1268,Radeon HD 7660G + HD 7600M Dual,616,2,
1269,GeForce GTS 250,615,2,
1270,Intel HD 515,614,2,
1271,Radeon HD 8650G + 8600M Dual,613,2,
1272,Radeon HD 8550G N HD 8550G + HD 8600M N HD 8600M D,612,2,
1273,7900 MOD - Radeon HD 6520G,610,2,
1274,Quadro K510M,610,2,
1275,Radeon HD 8610G + 8500M Dual,610,2,
1276,GeForce 8800 GTS 512,607,2,
